PM2.5,NO2,PM10,NO,NOx,O3,tavg,AQI
96.09,51.77,311.08,24.98,70.51,79.4,36.7,337
84.71,70.43,231.35,42.01,91.54,80.71,33.7,355
182.76,72.67,436.17,54.87,100.54,83.33,35.1,371
106.61,64.94,275.6,37.21,87.55,76.1,35.1,414
92.68,65.26,239.12,47.05,103.71,69.95,35.3,366
73.62,41.86,236.8,19.04,52.3,87.47,35.3,346
49.42,48.55,175.39,15.74,61.72,72.89,30,289
52.51,54.29,117.86,18.64,68.84,56.2,31.6,297
65.28,65.25,137.7,24.46,91.72,41.92,28.7,268
85.45,62.38,170.55,15.02,71.04,63,31.8,259
83.02,62.63,241.67,16.05,52.93,52.03,32.8,327
44.54,46.37,119.29,11.64,46.37,37.09,33.3,384
85.03,77.07,186.2,25.76,91.29,88.63,35.1,299
137.7,109.34,269.3,52.45,109.95,86.2,36.3,282
136.05,76.88,393.7,45.61,83.43,58,37.5,442
63.77,31.27,166.31,12.93,34.21,56.84,36.7,309
115.57,32.99,259.73,4.41,26.63,138.5,35.8,270
83.29,36.36,180.06,14.51,37.13,68.6,35.8,239
73.7,52.9,158.24,24.38,64.56,53.02,31.9,214
74.56,68.76,121.44,15.9,71.74,60.88,27,166
106.11,72.79,206.42,17.76,73.34,86.86,30.8,234
132.21,81.57,282.05,45.43,109.14,82.42,32.3,331
123.56,70.96,271.79,32.84,82.45,74.01,33.7,327
132.21,94.25,268.84,34.59,108.25,87.24,35.1,313
110.65,65.21,216.46,10.75,61.04,76.58,35.9,284
80.31,52.7,160.22,5.92,45.57,69.37,33,239
59.73,50.78,82.7,7.05,40.03,52.78,30.3,149
85.4,58.88,139.2,10.93,56.1,59.49,32,172
101.99,61.18,152.18,18.2,67.45,77.04,31.7,226
126.07,60.31,214.45,14.98,86.44,83.13,29.7,261
37.59,44.72,62.38,17.17,104.26,46.7,26.5,188
76,46.88,182.48,32.6,101.06,60.99,31.5,192
69.46,38.55,195.2,19.12,69.98,53.19,32.7,207
79.84,47.19,214.78,20.29,92.99,58.34,34.4,219
48.5,38.37,96.78,5.47,81.25,52.21,31.1,193
53.79,46.06,109.92,8.54,108.22,58.33,31,170
57.99,49.64,135.43,8.88,103.97,61.42,31.9,185
67.12,52.45,175.9,12.29,110.32,61.7,33.8,220
65.25,37.09,219.31,19.11,64.79,59.66,33.4,225
88.75,35.54,212.16,20.9,45.93,56.61,34.1,250
